Commodity_Description,Country_Code,Country_Name,Market_Year,Attribute_Description,Metric Ton
Oranges,US,United States,1969,Total Distribution,7517000
Oranges,US,United States,1969,Total Supply,7517000
Oranges,US,United States,1970,Exports,237000
Oranges,US,United States,1970,For Processing,5954000
Oranges,US,United States,1970,Fresh Dom. Consumption,1485000
Oranges,US,United States,1970,Imports,28000
Oranges,US,United States,1970,Production,7648000
Oranges,US,United States,1970,Total Distribution,7676000
Oranges,US,United States,1970,Total Supply,7676000
Oranges,US,United States,1971,Exports,292000
Oranges,US,United States,1971,For Processing,6051000
Oranges,US,United States,1971,Fresh Dom. Consumption,1384000
Oranges,US,United States,1971,Imports,38000
Oranges,US,United States,1971,Production,7689000
Oranges,US,United States,1971,Total Distribution,7727000
Oranges,US,United States,1971,Total Supply,7727000
Oranges,US,United States,1972,Exports,272000
Oranges,US,United States,1972,For Processing,7402000
Oranges,US,United States,1972,Fresh Dom. Consumption,1396000
Oranges,US,United States,1972,Imports,28000
Oranges,US,United States,1972,Production,9042000
Oranges,US,United States,1972,Total Distribution,9070000
Oranges,US,United States,1972,Total Supply,9070000
Oranges,US,United States,1973,Exports,312000
Oranges,US,United States,1973,For Processing,7039000
Oranges,US,United States,1973,Fresh Dom. Consumption,1405000
Oranges,US,United States,1973,Imports,24000
Oranges,US,United States,1973,Production,8732000
Oranges,US,United States,1973,Total Distribution,8756000
Oranges,US,United States,1973,Total Supply,8756000
Oranges,US,United States,1974,Exports,479000
Oranges,US,United States,1974,For Processing,7478000
Oranges,US,United States,1974,Fresh Dom. Consumption,1562000
Oranges,US,United States,1974,Imports,12000
Oranges,US,United States,1974,Production,9507000
Oranges,US,United States,1974,Total Distribution,9519000
Oranges,US,United States,1974,Total Supply,9519000
Oranges,US,United States,1975,Exports,440000
Oranges,US,United States,1975,For Processing,7847000
Oranges,US,United States,1975,Fresh Dom. Consumption,1466000
Oranges,US,United States,1975,Imports,9000
Oranges,US,United States,1975,Production,9744000
Oranges,US,United States,1975,Total Distribution,9753000
Oranges,US,United States,1975,Total Supply,9753000
Oranges,US,United States,1976,Exports,398000
Oranges,US,United States,1976,For Processing,7992000
Oranges,US,United States,1976,Fresh Dom. Consumption,1348000
Oranges,US,United States,1976,Imports,16000
Oranges,US,United States,1976,Production,9722000
Oranges,US,United States,1976,Total Distribution,9738000
Oranges,US,United States,1976,Total Supply,9738000
Oranges,US,United States,1977,Exports,335000
Oranges,US,United States,1977,For Processing,7176000
Oranges,US,United States,1977,Fresh Dom. Consumption,1361000
Oranges,US,United States,1977,Imports,12000
Oranges,US,United States,1977,Production,8860000
Oranges,US,United States,1977,Total Distribution,8872000
Oranges,US,United States,1977,Total Supply,8872000
Oranges,US,United States,1978,Exports,300000
Oranges,US,United States,1978,For Processing,6956000
Oranges,US,United States,1978,Fresh Dom. Consumption,1282000
Oranges,US,United States,1978,Imports,36000
Oranges,US,United States,1978,Production,8502000
Oranges,US,United States,1978,Total Distribution,8538000
Oranges,US,United States,1978,Total Supply,8538000
Oranges,US,United States,1979,Exports,459000
Oranges,US,United States,1979,For Processing,8919000
Oranges,US,United States,1979,Fresh Dom. Consumption,1611000
Oranges,US,United States,1979,Imports,10000
Oranges,US,United States,1979,Production,10979000
Oranges,US,United States,1979,Total Distribution,10989000
Oranges,US,United States,1979,Total Supply,10989000
Oranges,US,United States,1980,Exports,418000
Oranges,US,United States,1980,For Processing,7831000
Oranges,US,United States,1980,Fresh Dom. Consumption,1420000
Oranges,US,United States,1980,Imports,8000
Oranges,US,United States,1980,Production,9661000
Oranges,US,United States,1980,Total Distribution,9669000
Oranges,US,United States,1980,Total Supply,9669000
Oranges,US,United States,1981,Exports,354000
Oranges,US,United States,1981,For Processing,5342000
Oranges,US,United States,1981,Fresh Dom. Consumption,1342000
Oranges,US,United States,1981,Imports,13000
Oranges,US,United States,1981,Production,7025000
Oranges,US,United States,1981,Total Distribution,7038000
Oranges,US,United States,1981,Total Supply,7038000
Oranges,US,United States,1982,Exports,543000
Oranges,US,United States,1982,For Processing,6656000
Oranges,US,United States,1982,Fresh Dom. Consumption,1634000
Oranges,US,United States,1982,Imports,6000
Oranges,US,United States,1982,Production,8827000
Oranges,US,United States,1982,Total Distribution,8833000
Oranges,US,United States,1982,Total Supply,8833000
Oranges,US,United States,1983,Exports,443000
Oranges,US,United States,1983,For Processing,4964000
Oranges,US,United States,1983,Fresh Dom. Consumption,1299000
Oranges,US,United States,1983,Imports,17000
Oranges,US,United States,1983,Production,6689000
Oranges,US,United States,1983,Total Distribution,6706000
Oranges,US,United States,1983,Total Supply,6706000
Oranges,US,United States,1984,Exports,464000
Oranges,US,United States,1984,For Processing,4501000
Oranges,US,United States,1984,Fresh Dom. Consumption,1285000
Oranges,US,United States,1984,Imports,22000
Oranges,US,United States,1984,Production,6228000
Oranges,US,United States,1984,Total Distribution,6250000
Oranges,US,United States,1984,Total Supply,6250000
Oranges,US,United States,1985,Exports,488000
Oranges,US,United States,1985,For Processing,4950000
Oranges,US,United States,1985,Fresh Dom. Consumption,1493000
Oranges,US,United States,1985,Imports,28000
Oranges,US,United States,1985,Production,6903000
Oranges,US,United States,1985,Total Distribution,6931000
Oranges,US,United States,1985,Total Supply,6931000
Oranges,US,United States,1986,Exports,506000
Oranges,US,United States,1986,For Processing,5201000
Oranges,US,United States,1986,Fresh Dom. Consumption,1435000
Oranges,US,United States,1986,Imports,20000
Oranges,US,United States,1986,Production,7122000
Oranges,US,United States,1986,Total Distribution,7142000
Oranges,US,United States,1986,Total Supply,7142000
Oranges,US,United States,1987,Exports,418000
Oranges,US,United States,1987,For Processing,5958000
Oranges,US,United States,1987,Fresh Dom. Consumption,1550000
Oranges,US,United States,1987,Imports,23000
Oranges,US,United States,1987,Production,7903000
Oranges,US,United States,1987,Total Distribution,7926000
Oranges,US,United States,1987,Total Supply,7926000
Oranges,US,United States,1988,Exports,464000
Oranges,US,United States,1988,For Processing,6408000
Oranges,US,United States,1988,Fresh Dom. Consumption,1408000
Oranges,US,United States,1988,Imports,8000
Oranges,US,United States,1988,Production,8272000
Oranges,US,United States,1988,Total Distribution,8280000
Oranges,US,United States,1988,Total Supply,8280000
Oranges,US,United States,1989,Exports,523000
Oranges,US,United States,1989,For Processing,5170000
Oranges,US,United States,1989,Fresh Dom. Consumption,1402000
Oranges,US,United States,1989,Imports,12000
Oranges,US,United States,1989,Production,7083000
Oranges,US,United States,1989,Total Distribution,7095000
Oranges,US,United States,1989,Total Supply,7095000
Oranges,US,United States,1990,Exports,233000
Oranges,US,United States,1990,For Processing,6082000
Oranges,US,United States,1990,Fresh Dom. Consumption,969000
Oranges,US,United States,1990,Imports,62000
Oranges,US,United States,1990,Production,7222000
Oranges,US,United States,1990,Total Distribution,7284000
Oranges,US,United States,1990,Total Supply,7284000
Oranges,US,United States,1991,Exports,495000
Oranges,US,United States,1991,For Processing,6203000
Oranges,US,United States,1991,Fresh Dom. Consumption,1496000
Oranges,US,United States,1991,Imports,16000
Oranges,US,United States,1991,Production,8178000
Oranges,US,United States,1991,Total Distribution,8194000
Oranges,US,United States,1991,Total Supply,8194000
Oranges,US,United States,1992,Exports,556000
Oranges,US,United States,1992,For Processing,7860000
Oranges,US,United States,1992,Fresh Dom. Consumption,1668000
Oranges,US,United States,1992,Imports,10000
Oranges,US,United States,1992,Production,10074000
Oranges,US,United States,1992,Total Distribution,10084000
Oranges,US,United States,1992,Total Supply,10084000
Oranges,US,United States,1993,Exports,548000
Oranges,US,United States,1993,For Processing,7295000
Oranges,US,United States,1993,Fresh Dom. Consumption,1592000
Oranges,US,United States,1993,Imports,16000
Oranges,US,United States,1993,Production,9419000
Oranges,US,United States,1993,Total Distribution,9435000
Oranges,US,United States,1993,Total Supply,9435000
Oranges,US,United States,1994,Exports,576000
Oranges,US,United States,1994,For Processing,8455000
Oranges,US,United States,1994,Fresh Dom. Consumption,1461000
Oranges,US,United States,1994,Imports,18000
Oranges,US,United States,1994,Production,10474000
Oranges,US,United States,1994,Total Distribution,10492000
Oranges,US,United States,1994,Total Supply,10492000
Oranges,US,United States,1995,Exports,508000
Oranges,US,United States,1995,For Processing,8430000
Oranges,US,United States,1995,Fresh Dom. Consumption,1538000
Oranges,US,United States,1995,Imports,23000
Oranges,US,United States,1995,Production,10453000
Oranges,US,United States,1995,Total Distribution,10476000
Oranges,US,United States,1995,Total Supply,10476000
Oranges,US,United States,1996,Exports,602000
Oranges,US,United States,1996,For Processing,9323000
Oranges,US,United States,1996,Fresh Dom. Consumption,1723000
Oranges,US,United States,1996,Imports,30000
Oranges,US,United States,1996,Production,11618000
Oranges,US,United States,1996,Total Distribution,11648000
Oranges,US,United States,1996,Total Supply,11648000
Oranges,US,United States,1997,Exports,645000
Oranges,US,United States,1997,For Processing,10060000
Oranges,US,United States,1997,Fresh Dom. Consumption,1830000
Oranges,US,United States,1997,Imports,40000
Oranges,US,United States,1997,Production,12495000
Oranges,US,United States,1997,Total Distribution,12535000
Oranges,US,United States,1997,Total Supply,12535000
Oranges,US,United States,1998,Exports,245000
Oranges,US,United States,1998,For Processing,7784000
Oranges,US,United States,1998,Fresh Dom. Consumption,1062000
Oranges,US,United States,1998,Imports,102000
Oranges,US,United States,1998,Production,8989000
Oranges,US,United States,1998,Total Distribution,9091000
Oranges,US,United States,1998,Total Supply,9091000
Oranges,US,United States,1999,Exports,519000
Oranges,US,United States,1999,For Processing,9909000
Oranges,US,United States,1999,Fresh Dom. Consumption,1495000
Oranges,US,United States,1999,Imports,48000
Oranges,US,United States,1999,Production,11875000
Oranges,US,United States,1999,Total Distribution,11923000
Oranges,US,United States,1999,Total Supply,11923000
Oranges,US,United States,2000,Exports,566000
Oranges,US,United States,2000,For Processing,9089000
Oranges,US,United States,2000,Fresh Dom. Consumption,1538000
Oranges,US,United States,2000,Imports,54000
Oranges,US,United States,2000,Production,11139000
Oranges,US,United States,2000,Total Distribution,11193000
Oranges,US,United States,2000,Total Supply,11193000
Oranges,US,United States,2001,Exports,500000
Oranges,US,United States,2001,For Processing,9316000
Oranges,US,United States,2001,Fresh Dom. Consumption,1534000
Oranges,US,United States,2001,Imports,60000
Oranges,US,United States,2001,Production,11290000
Oranges,US,United States,2001,Total Distribution,11350000
Oranges,US,United States,2001,Total Supply,11350000
Oranges,US,United States,2002,Exports,646000
Oranges,US,United States,2002,For Processing,8366000
Oranges,US,United States,2002,Fresh Dom. Consumption,1569000
Oranges,US,United States,2002,Imports,54000
Oranges,US,United States,2002,Production,10527000
Oranges,US,United States,2002,Total Distribution,10581000
Oranges,US,United States,2002,Total Supply,10581000
Oranges,US,United States,2003,Exports,615000
Oranges,US,United States,2003,For Processing,9746000
Oranges,US,United States,2003,Fresh Dom. Consumption,1437000
Oranges,US,United States,2003,Imports,64000
Oranges,US,United States,2003,Production,11734000
Oranges,US,United States,2003,Total Distribution,11798000
Oranges,US,United States,2003,Total Supply,11798000
Oranges,US,United States,2004,Exports,579000
Oranges,US,United States,2004,For Processing,6377000
Oranges,US,United States,2004,Fresh Dom. Consumption,1532000
Oranges,US,United States,2004,Imports,69000
Oranges,US,United States,2004,Production,8419000
Oranges,US,United States,2004,Total Distribution,8488000
Oranges,US,United States,2004,Total Supply,8488000
Oranges,US,United States,2005,Exports,583000
Oranges,US,United States,2005,For Processing,6350000
Oranges,US,United States,2005,Fresh Dom. Consumption,1351000
Oranges,US,United States,2005,Imports,72000
Oranges,US,United States,2005,Production,8212000
Oranges,US,United States,2005,Total Distribution,8284000
Oranges,US,United States,2005,Total Supply,8284000
Oranges,US,United States,2006,Exports,350000
Oranges,US,United States,2006,For Processing,5668000
Oranges,US,United States,2006,Fresh Dom. Consumption,1015000
Oranges,US,United States,2006,Imports,116000
Oranges,US,United States,2006,Production,6917000
Oranges,US,United States,2006,Total Distribution,7033000
Oranges,US,United States,2006,Total Supply,7033000
Oranges,US,United States,2007,Exports,613000
Oranges,US,United States,2007,For Processing,7199000
Oranges,US,United States,2007,Fresh Dom. Consumption,1406000
Oranges,US,United States,2007,Imports,77000
Oranges,US,United States,2007,Production,9141000
Oranges,US,United States,2007,Total Distribution,9218000
Oranges,US,United States,2007,Total Supply,9218000
Oranges,US,United States,2008,Exports,493000
Oranges,US,United States,2008,For Processing,6614000
Oranges,US,United States,2008,Fresh Dom. Consumption,1264000
Oranges,US,United States,2008,Imports,90000
Oranges,US,United States,2008,Production,8281000
Oranges,US,United States,2008,Total Distribution,8371000
Oranges,US,United States,2008,Total Supply,8371000
Oranges,US,United States,2009,Exports,670000
Oranges,US,United States,2009,For Processing,5554000
Oranges,US,United States,2009,Fresh Dom. Consumption,1360000
Oranges,US,United States,2009,Imports,106000
Oranges,US,United States,2009,Production,7478000
Oranges,US,United States,2009,Total Distribution,7584000
Oranges,US,United States,2009,Total Supply,7584000
Oranges,US,United States,2010,Exports,750000
Oranges,US,United States,2010,For Processing,6019000
Oranges,US,United States,2010,Fresh Dom. Consumption,1411000
Oranges,US,United States,2010,Imports,102000
Oranges,US,United States,2010,Production,8078000
Oranges,US,United States,2010,Total Distribution,8180000
Oranges,US,United States,2010,Total Supply,8180000
Oranges,US,United States,2011,Exports,695000
Oranges,US,United States,2011,For Processing,6064000
Oranges,US,United States,2011,Fresh Dom. Consumption,1526000
Oranges,US,United States,2011,Imports,119000
Oranges,US,United States,2011,Production,8166000
Oranges,US,United States,2011,Total Distribution,8285000
Oranges,US,United States,2011,Total Supply,8285000
Oranges,US,United States,2012,Exports,678000
Oranges,US,United States,2012,For Processing,5470000
Oranges,US,United States,2012,Fresh Dom. Consumption,1492000
Oranges,US,United States,2012,Imports,139000
Oranges,US,United States,2012,Production,7501000
Oranges,US,United States,2012,Total Distribution,7640000
Oranges,US,United States,2012,Total Supply,7640000
Oranges,US,United States,2013,Exports,506000
Oranges,US,United States,2013,For Processing,4420000
Oranges,US,United States,2013,Fresh Dom. Consumption,1357000
Oranges,US,United States,2013,Imports,143000
Oranges,US,United States,2013,Production,6140000
Oranges,US,United States,2013,Total Distribution,6283000
Oranges,US,United States,2013,Total Supply,6283000
Oranges,US,United States,2014,Exports,522000
Oranges,US,United States,2014,For Processing,4133000
Oranges,US,United States,2014,Fresh Dom. Consumption,1263000
Oranges,US,United States,2014,Imports,155000
Oranges,US,United States,2014,Production,5763000
Oranges,US,United States,2014,Total Distribution,5918000
Oranges,US,United States,2014,Total Supply,5918000
Oranges,US,United States,2015,Exports,657000
Oranges,US,United States,2015,For Processing,3684000
Oranges,US,United States,2015,Fresh Dom. Consumption,1346000
Oranges,US,United States,2015,Imports,164000
Oranges,US,United States,2015,Production,5523000
Oranges,US,United States,2015,Total Distribution,5687000
Oranges,US,United States,2015,Total Supply,5687000
Oranges,US,United States,2016,Exports,613000
Oranges,US,United States,2016,For Processing,3001000
Oranges,US,United States,2016,Fresh Dom. Consumption,1184000
Oranges,US,United States,2016,Imports,182000
Oranges,US,United States,2016,Production,4616000
Oranges,US,United States,2016,Total Distribution,4798000
Oranges,US,United States,2016,Total Supply,4798000
Oranges,US,United States,2017,Exports,510000
Oranges,US,United States,2017,For Processing,2014000
Oranges,US,United States,2017,Fresh Dom. Consumption,1253000
Oranges,US,United States,2017,Imports,222000
Oranges,US,United States,2017,Production,3555000
Oranges,US,United States,2017,Total Distribution,3777000
Oranges,US,United States,2017,Total Supply,3777000
Oranges,US,United States,2018,Exports,595000
Oranges,US,United States,2018,For Processing,3350000
Oranges,US,United States,2018,Fresh Dom. Consumption,1277000
Oranges,US,United States,2018,Imports,200000
Oranges,US,United States,2018,Production,5022000
Oranges,US,United States,2018,Total Distribution,5222000
Oranges,US,United States,2018,Total Supply,5222000
Oranges,UY,Uruguay,1966,Exports,0
Oranges,UY,Uruguay,1966,For Processing,0
Oranges,UY,Uruguay,1966,Fresh Dom. Consumption,38000
Oranges,UY,Uruguay,1966,Imports,0
Oranges,UY,Uruguay,1966,Production,38000
Oranges,UY,Uruguay,1966,Total Distribution,38000
