Country,Sub-Region,Region,1990,2005,2017
Afghanistan,South-Central Asia,Asia,2.546,1.063,11.422
Albania,Southern Europe,Europe,6.583,4.196,5.026
Algeria,Northern Africa,Africa,65.677,98.197,159.929
Angola,Middle Africa,Africa,5.851,15.975,30.876
Anguilla,Carribean,Americas,0.006,0.014,0.028
Antigua and Barbuda,Carribean,Americas,0.223,0.283,0.624
Argentina,South America,Americas,112.434,165.429,209.968
Armenia,Western Asia,Asia,20.699,4.542,4.832
Aruba,Carribean,Americas,0.297,0.47,0.959
Australia,Australia & New Zealand,Oceania,275.408,391.59,402.253
Austria,Western Europe,Europe,62.918,80.994,72.249
Azerbaijan,Western Asia,Asia,58.077,30.485,32.544
Bahamas,Carribean,Americas,1.524,2.068,2.997
Bahrain,Western Asia,Asia,11.988,23.388,35.775
Bangladesh,South-Central Asia,Asia,13.868,38.834,84.546
Barbados,Carribean,Americas,0.776,2.162,3.172
Belarus,Eastern Europe,Europe,109.069,61.396,62.34
Belgium,Western Europe,Europe,115.903,118.708,104.221
Belize,Central America,Americas,0.188,0.44,0.44
Benin,Western Africa,Africa,0.415,2.839,7.097
Bermuda,North America,Americas,0.335,0.284,0.429
Bhutan,South-Central Asia,Asia,0.208,0.515,1.454
Bolivia,South America,Americas,6.287,9.998,20.462
Bosnia and Herzegovina,Southern Europe,Europe,24.559,16.89,25.618
Botswana,Southern Africa,Africa,2.818,4.465,7.913
Brazil,South America,Americas,228.603,380.765,492.791
British Virgin Islands,Carribean,Americas,0.026,0.032,0.149
Brunei,South-East Asia,Asia,3.397,5.174,6.711
Bulgaria,Eastern Europe,Europe,82.271,52.032,49.568
Burkina Faso,Western Africa,Africa,0.38,1.038,3.399
Burundi,Eastern Africa,Africa,0.21,0.307,0.289
Cambodia,South-East Asia,Asia,0.407,2.686,10.56
Cameroon,Middle Africa,Africa,7.097,5.52,9.768
Canada,North America,Americas,455.827,581.267,617.301
Cape Verde,Western Africa,Africa,0.049,0.227,0.955
Cayman Islands,Carribean,Americas,0.148,0.188,0.493
Central African Republic,Middle Africa,Africa,0.159,0.246,0.486
Chad,Middle Africa,Africa,0.268,0.383,0.925
Chile,South America,Americas,32.654,59.747,90.325
China,Eastern Asia,Asia,"2,397.05","6,263.06","10,877.22"
Colombia,South America,Americas,51.919,60.61,74.954
Comoros,Eastern Africa,Africa,0.049,0.115,0.206
Congo,Middle Africa,Africa,0.902,4.359,5.514
Cook Islands,Polynesia,Oceania,0.043,0.058,0.047
Costa Rica,Central America,Americas,2.913,6.306,8.138
Croatia,Southern Europe,Europe,25.164,23.634,17.466
Cuba,Carribean,Americas,37.109,26.165,31.277
